series_id,provider,provider_code,country,frequency,group,label,unit,publication_delay_days,need_sa,transform,active,notes,concept
fis_transf,bcrp,PN38630FM,PE,M,Fiscal sector,Fiscal Transfers,"Thousands of Soles, Constant Prices",17.0,1.0,yoy,1.0,,
imp_bc,bcrp,PN38719BM,PE,M,External trade,Consumer-goods imports,USD millions,40.0,1.0,mom_ann,1.0,,
imp_bk,bcrp,PN38721BM,PE,M,External trade,Capital-goods imports,USD millions,40.0,1.0,mom_ann,1.0,,
imp_ins,bcrp,PN38720BM,PE,M,External trade,Intermediate-input imports,USD millions,40.0,1.0,mom_ann,1.0,,
int,bcrp,PN07819NM,PE,M,Prices and financial conditions,Interbank interest rate,Percent,10.0,0.0,none,1.0,,
ipc,bcrp,PN38705PM,PE,M,Prices and financial conditions,Consumer Price Index,Index,3.0,0.0,mom_ann,1.0,,
ipm,bcrp,PN38919BM,PE,M,International prices,Import price index,Index,40.0,0.0,mom_ann,1.0,,
ipx,bcrp,PN38915BM,PE,M,International prices,Export price index,Index,40.0,0.0,mom_ann,1.0,,
liqme,bcrp,PN00190MM,PE,M,Credit and liquidity,Liquidity in dollars,Millions of Dollars,22.0,0.0,mom,1.0,,
liqmn,bcrp,PN00187MM,PE,M,Credit and liquidity,Liquidity in soles,Millions of Soles,22.0,0.0,mom,1.0,,
p_au,bcrp,PN01654XM,PE,M,International prices,Gold price,Price level,3.0,0.0,mom_ann,1.0,,
p_cu,bcrp,PN01652XM,PE,M,International prices,Copper price,Price level,3.0,0.0,mom_ann,1.0,,
p_wti,bcrp,PN01660XM,PE,M,International prices,WTI oil price,Price level,3.0,0.0,mom_ann,1.0,,
pbim,bcrp,PN01770AM,PE,M,Sectoral activity,Monthly GDP Index,Index,51.0,1.0,mom_ann,1.0,,
pbim_aceite,bcrp,PN02034AM,PE,M,Sectoral activity,Domestic Oil Production,Index,51.0,1.0,mom_ann,1.0,,
pbim_anchoveta,bcrp,PN01848AM,PE,M,Sectoral activity,Anchoveta Landing,Thousands of tons,51.0,1.0,yoy,1.0,,
pbim_arroz,bcrp,PN01778AM,PE,M,Sectoral activity,Rice Production,Thousands of tons,51.0,1.0,yoy,1.0,,
pbim_ave,bcrp,PN01800AM,PE,M,Sectoral activity,Poultry Production,Thousands of tons,51.0,1.0,yoy,1.0,,
pbim_cobre,bcrp,PN01873AM,PE,M,Sectoral activity,Copper Production,Thousands of units,51.0,1.0,mom_ann,1.0,,
